slot,policy,jain,alpha_0,alpha_1,alpha_2,fuzzy_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation
0,fuzzy_ablated,1.0,750.0,135.40251005511047,-3.3333333333333335,0.5257146339035057,0.0,15.0,62324434.474142745,30465185.63783571,0.01333333333333342,50,50,750.0
1,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5218561783595959,1.0,0.0,63800049.404641,35454928.28959361,1.0,50,0,0.0
2,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5295264259081243,1.0,0.0,62670987.53700788,33905336.220816836,1.0,50,0,0.0
3,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5606516522775978,1.0,0.0,61345287.87452732,32726291.573845804,1.0,50,0,0.0
4,fuzzy_ablated,0.0,0.0,0.0,0.0,0.4969413908501472,1.0,0.0,63889072.498674706,35805082.69971313,1.0,50,0,0.0
5,fuzzy_ablated,0.0,0.0,0.0,0.0,0.48870069071406674,1.0,0.0,67992462.11858685,37893957.46860055,1.0,50,0,0.0
6,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5548598336506229,1.0,0.0,64553150.86716914,37301380.40264566,1.0,50,0,0.0
7,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5179853925308681,1.0,0.0,61576908.99111592,34218474.112779535,1.0,50,0,0.0
8,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5053115801198321,1.0,0.0,62833125.88988311,33264586.91752327,1.0,50,0,0.0
9,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5166692086544745,1.0,0.0,57827407.123401836,34386057.962028116,1.0,50,0,0.0
10,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5174824204833126,1.0,0.0,65724783.14775669,33042427.189632688,1.0,50,0,0.0
11,fuzzy_ablated,0.0,0.0,0.0,0.0,0.480147700007695,1.0,0.0,66031857.77889026,33330607.4152573,1.0,50,0,0.0
12,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5355315164591662,1.0,0.0,60786313.83035949,31854741.352752544,1.0,50,0,0.0
13,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5105423300077309,1.0,0.0,69678462.7021333,34388395.97534497,1.0,50,0,0.0
14,fuzzy_ablated,0.0,0.0,0.0,0.0,0.47913645412856637,1.0,0.0,65594232.83484543,36426364.08917083,1.0,50,0,0.0
15,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5239121885963564,1.0,0.0,64411370.242493734,34251932.6448891,1.0,50,0,0.0
16,fuzzy_ablated,0.0,0.0,0.0,0.0,0.4860383892104385,1.0,0.0,61667685.37615312,32850701.816272195,1.0,50,0,0.0
17,fuzzy_ablated,0.0,0.0,0.0,0.0,0.4970576572118236,1.0,0.0,65172497.822658435,33489666.12073153,1.0,50,0,0.0
18,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5020538068044144,1.0,0.0,66506696.127691574,31125747.858595733,1.0,50,0,0.0
19,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5147941296602354,1.0,0.0,66430373.16454013,33280473.971724864,1.0,50,0,0.0
20,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5252912630009864,1.0,0.0,62166277.51876067,37142490.59671236,1.0,50,0,0.0
21,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5085099651987552,1.0,0.0,66484045.824200384,31296218.31902213,1.0,50,0,0.0
22,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5205255604120904,1.0,0.0,62576644.263713025,35297341.95542199,1.0,50,0,0.0
23,fuzzy_ablated,0.0,0.0,0.0,0.0,0.4994817439132031,1.0,0.0,66356872.48154684,31685200.277136635,1.0,50,0,0.0
24,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5341923858492841,1.0,0.0,61252514.15067618,32995932.144390218,1.0,50,0,0.0
25,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5177330223001647,1.0,0.0,67278722.25723153,37175037.50274513,1.0,50,0,0.0
26,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5476477989510156,1.0,0.0,62979497.983442515,33687311.23791308,1.0,50,0,0.0
27,fuzzy_ablated,0.0,0.0,0.0,0.0,0.527771494239452,1.0,0.0,68130849.98229931,33661461.099501304,1.0,50,0,0.0
28,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5149391635637875,1.0,0.0,63517482.420012474,32732643.37957527,1.0,50,0,0.0
29,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5424893401814738,1.0,0.0,61603913.7324304,34630593.042777844,1.0,50,0,0.0
30,fuzzy_ablated,0.0,0.0,0.0,0.0,0.517294420682326,1.0,0.0,68138155.50366925,36258858.85475262,1.0,50,0,0.0
31,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5317465334584256,1.0,0.0,63958411.92491144,31459205.207484975,1.0,50,0,0.0
32,fuzzy_ablated,0.0,0.0,0.0,0.0,0.5162338035240905,1.0,0.0,64478460.21414027,34874724.189304255,1.0,50,0,0.0
