slot,policy,jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation
0,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20646225.255980216,1050609.2978403799,0.6666666666666667,5000,50,750.0
1,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19741830.75333749,1634296.6062242584,0.6666666666666667,5000,50,750.0
2,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20273531.68099129,4235870.172460299,0.6666666666666667,5000,50,750.0
3,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19856427.449333165,1676139.512481345,0.6666666666666667,5000,50,750.0
4,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20325468.831367657,2058830.4822155659,0.6666666666666667,5000,50,750.0
5,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20754641.632039662,2481477.7168499846,0.6666666666666667,5000,50,750.0
6,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18516549.40297391,1088108.967381074,0.6666666666666667,5000,50,750.0
7,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18282978.018154442,1788375.3086305205,0.6666666666666667,5000,50,750.0
8,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,22259889.585046943,4050902.1240398227,0.6666666666666667,5000,50,750.0
9,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20764707.669480357,2935415.4570579804,0.6666666666666667,5000,50,750.0
10,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18652666.37418734,2101256.0814481936,0.6666666666666667,5000,50,750.0
11,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,16960396.977757562,2543641.096366669,0.6666666666666667,5000,50,750.0
