slot,policy,jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation
0,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19873279.639616914,2009686.3962012688,0.3442666666666667,5000,5000,75000.0
1,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19659484.975127056,2048854.2762548556,0.3442666666666667,5000,5000,75000.0
2,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20055002.140319847,1990048.343724565,0.3442666666666667,5000,5000,75000.0
3,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20307387.994122926,2038229.2680052707,0.3442666666666667,5000,5000,75000.0
4,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20351084.57756159,2150451.278228569,0.3442666666666667,5000,5000,75000.0
5,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19652946.98875678,2038150.7909293717,0.3442666666666667,5000,5000,75000.0
6,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20024572.19307435,2102470.5761950053,0.3442666666666667,5000,5000,75000.0
7,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19872498.44907168,1817779.755665124,0.3442666666666667,5000,5000,75000.0
8,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19938246.37608723,2137608.089853722,0.3442666666666667,5000,5000,75000.0
9,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19810858.067416165,1888263.6756322933,0.3442666666666667,5000,5000,75000.0
10,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20166307.46063537,1902674.471264418,0.3442666666666667,5000,5000,75000.0
11,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20085259.671938155,1982120.7394389529,0.3442666666666667,5000,5000,75000.0
12,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20006472.960395448,2123035.713891285,0.3442666666666667,5000,5000,75000.0
13,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20136576.27746991,2010827.1860288482,0.3442666666666667,5000,5000,75000.0
14,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19943405.47866219,2084268.7473582013,0.3442666666666667,5000,5000,75000.0
15,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19994552.720455185,2160740.2400582056,0.3442666666666667,5000,5000,75000.0
