slot,policy,jain,jain_allocation,urban_jain,rural_jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation,urban_allocated,rural_allocated,total_urban,total_rural,urban_allocation_rate,rural_allocation_rate
0,demand,0.9883531985761872,1.0,0.9867320444374157,0.9894603186996939,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,22804312.14378656,18884059.690741554,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
1,demand,0.988817606549312,1.0,0.9886913474273149,0.9883891348458118,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,22205754.57226995,19275578.61033907,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
2,demand,0.9888187390964714,1.0,0.9887034960034405,0.9883622598749822,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,22222759.872970533,19334856.456644505,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
3,demand,0.9858217882220343,1.0,0.984324057128284,0.9836017228987702,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,22380021.943058774,18095223.21514693,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
4,demand,0.9858794217826755,1.0,0.9843734926549577,0.9836727390567808,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,22410417.257078942,18115879.347482175,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
5,demand,0.9858662925548117,1.0,0.98435012752806,0.9836700185083339,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,22402814.00272179,18139377.086526494,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
6,demand,0.9857850188491298,1.0,0.984329100647338,0.9835120018900221,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,22388861.390318375,18124034.341722738,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
7,demand,0.9858677628443726,1.0,0.984370910459654,0.9836494090155258,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,22416898.0231781,18123245.23579855,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
8,demand,0.9858390690566237,1.0,0.9843358603621122,0.9836284791348486,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,22394566.7874513,18139761.75914036,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
9,demand,0.9858882176311146,1.0,0.9843747666923419,0.9836842516621789,1500.0,270.80502011022094,-6.666666666666665,270.80502011022094,0.0,15.0,22410959.755166464,18118472.467576206,0.006666666666666821,100,100,1500.0,50,30,50,30,1.0,1.0
