slot,policy,jain,jain_allocation,urban_jain,rural_jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation,urban_allocated,rural_allocated,total_urban,total_rural,urban_allocation_rate,rural_allocation_rate
0,fairshare,0.994753932129585,0.29,0.9941040310942876,0.9953111144455022,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20376055.813194912,18727010.676237628,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
1,fairshare,0.9918929410704259,0.29,0.9957264718521125,0.9842594344041681,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19852409.64909281,17776731.454869624,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
2,fairshare,0.9917918911995431,0.29,0.9957267335685185,0.9840224892646258,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19818141.317562725,17713988.343437903,0.09195402298850586,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
3,fairshare,0.994449210814362,0.29,0.9928482258127829,0.9980446370334409,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20411399.890452154,18460446.47818941,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
4,fairshare,0.9944389442457054,0.29,0.9928374280460576,0.9980602491979759,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20406594.942227077,18470941.029199984,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
5,fairshare,0.9945108758887324,0.29,0.9928289286076334,0.9980201103765238,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20382993.2654284,18474825.48469513,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
6,fairshare,0.9944624306021791,0.29,0.9928598596781348,0.9980739133217055,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20407734.586715456,18461845.14248357,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
7,fairshare,0.9944852730212296,0.29,0.9928082501275821,0.9980030911162696,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20388591.585227877,18465110.861709643,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
8,fairshare,0.9944565822823461,0.29,0.9928447116366623,0.9980569738411519,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20410090.2446643,18459674.889121443,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
9,fairshare,0.9944553454398135,0.29,0.9928536954941883,0.9980908690108914,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20405638.37021954,18460384.543092895,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
10,fairshare,0.9944821069977637,0.29,0.9928207789453319,0.9980560082841272,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20398567.50168345,18487367.290698215,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
11,fairshare,0.9945152579067468,0.29,0.9928228168589601,0.9980310742263336,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20385399.258665785,18480831.34536673,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
12,fairshare,0.99448094296503,0.29,0.99283444550813,0.9980054185311721,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20321448.995804843,18369952.59639673,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
13,fairshare,0.9945182194541746,0.29,0.9928212982243577,0.9980468683534177,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20325290.05446532,18405446.00916711,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
14,fairshare,0.9945164435329107,0.29,0.9928218599953934,0.9980334766683083,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20320574.84499954,18404329.061641026,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
15,fairshare,0.9945276677771254,0.29,0.9928585272687722,0.9980723509404759,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20412638.7784931,18482216.063535504,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
16,fairshare,0.9944967665900248,0.29,0.9928673911321952,0.9980717127618645,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20410737.47578556,18465223.964783445,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
17,fairshare,0.9945272054105925,0.29,0.9928325662845096,0.997979401447569,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20352745.73821838,18445660.153837014,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
18,fairshare,0.9944550521222701,0.29,0.9928582959544887,0.9979290472665981,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20373147.539036047,18402496.0116091,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
19,fairshare,0.9898780602411316,0.29,0.9937362395117872,0.9887812174133628,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20132583.18646293,17532222.87314219,0.13793103448275867,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
20,fairshare,0.9924769868493865,0.29,0.9939527673543087,0.9941338594633361,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20967556.73782958,18439673.7859707,0.11494252873563227,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
21,fairshare,0.9924237186494405,0.29,0.9939493752614323,0.993998723343243,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,20951232.60712166,18430820.367722493,0.11494252873563227,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
22,fairshare,0.9952258633602299,0.29,0.9985047467465359,0.9980479357253915,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19353165.59191123,17149244.332964703,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
23,fairshare,0.9954302047068554,0.29,0.9985236537108881,0.9981416048264736,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19388841.989810023,17365212.579471827,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
24,fairshare,0.9953184163235788,0.29,0.9985055206002169,0.9980822339200112,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19366995.705060054,17207244.180433735,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
25,fairshare,0.9953851947823346,0.29,0.9985247637242396,0.9981780896685924,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19381017.22955863,17350328.51357648,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
26,fairshare,0.9953886015274901,0.29,0.998516928200947,0.9981320841664284,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19362632.411004715,17332510.527771447,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
27,fairshare,0.9953850061071751,0.29,0.9985245010601336,0.9980884846279469,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19382048.054708496,17351664.040642828,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
28,fairshare,0.9954194634267274,0.29,0.9985086414623692,0.9981177021559052,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19371381.383900736,17302192.064502727,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
29,fairshare,0.9952673610310437,0.29,0.9985110922919695,0.9979884651760021,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19364318.983211983,17220700.029035635,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
30,fairshare,0.9954137513764847,0.29,0.9985020888269613,0.9982135591553742,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19366748.069036316,17303252.25831938,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
31,fairshare,0.9953309452516157,0.29,0.9985045382392967,0.9982581865031688,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,19351173.01444518,17257406.20345267,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
