slot,policy,jain,jain_allocation,urban_jain,rural_jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation,urban_allocated,rural_allocated,total_urban,total_rural,urban_allocation_rate,rural_allocation_rate
0,fairshare,0.9966746162885737,0.29,0.9962067020272444,0.9970662324994379,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25543882.04240537,23920884.829513796,0.02298850574712641,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
1,fairshare,0.9948979876158952,0.29,0.9972877448182705,0.9901688440479698,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25028510.946112424,22923962.562276915,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
2,fairshare,0.9948990512337795,0.29,0.997287685599287,0.9901598935755702,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25026172.765510306,22939793.906877704,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
3,fairshare,0.9964585274438995,0.29,0.9954007762814938,0.9987257473027159,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25568833.261542052,23597409.135195445,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
4,fairshare,0.9964937503828732,0.29,0.9953879989750256,0.9987854445923382,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25569393.323505454,23644819.020974886,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
5,fairshare,0.996445653537682,0.29,0.9953990183931214,0.9987060057591012,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25581524.013985023,23617471.743625917,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
6,fairshare,0.9964526605392335,0.29,0.9953863815948581,0.9987208841918392,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25581051.999506623,23631375.1094055,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
7,fairshare,0.9964586883932394,0.29,0.9953881376626106,0.9987314897508107,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25578919.362946197,23637591.807319444,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
8,fairshare,0.996483835975359,0.29,0.9953972154554356,0.9986963248561453,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25546917.48703132,23610208.646142706,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
9,fairshare,0.996450027013658,0.29,0.9954020454873509,0.9987361495911949,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25575039.770857684,23610002.049409155,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
10,fairshare,0.9964506660025589,0.29,0.9953928180668644,0.9987570096664402,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25580795.57339598,23636953.56509521,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
11,fairshare,0.9964785073942815,0.29,0.995378875639936,0.9986625789487498,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25535615.66444126,23594779.489086747,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
12,fairshare,0.9965020279918554,0.29,0.9953865250515891,0.9988216875912461,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25522823.449592024,23598406.505079504,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
13,fairshare,0.9964531658497403,0.29,0.9953925321619632,0.9987404256155479,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25502630.05527959,23544058.69922261,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
14,fairshare,0.9965039899139266,0.29,0.9953580858536887,0.9986879908599571,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25476640.669940274,23595395.7210797,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
15,fairshare,0.9964744364106405,0.29,0.9954037296098849,0.9986980556221161,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25581255.365300585,23636782.04888944,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
16,fairshare,0.9964955183088171,0.29,0.9954030171953923,0.9987542676249737,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25581761.170770973,23646481.98337489,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
17,fairshare,0.9964710920526623,0.29,0.995383049401791,0.9987728915822619,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25541681.644975927,23618366.57759762,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
18,fairshare,0.9964710758953191,0.29,0.9954010942298817,0.9987696800631379,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25546082.713545874,23596486.62615449,0.06896551724137945,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
19,fairshare,0.9934508147096208,0.29,0.9959877202918735,0.9925636002647132,435.0,78.53345583196409,-1.9333333333333333,78.53345583196409,0.71,0.0,25323860.660177253,22722131.81345949,0.13793103448275867,100,29,435.0,12,10,50,30,0.24,0.3333333333333333
