slot,policy,jain,jain_allocation,urban_jain,rural_jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation,urban_allocated,rural_allocated,total_urban,total_rural,urban_allocation_rate,rural_allocation_rate
0,fairshare,0.9947566554036423,0.28,0.9943253311800108,0.9955758278430167,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20435116.91158586,18808072.539148428,0.04761904761904767,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
1,fairshare,0.9917575918368166,0.28,0.9958311579361093,0.9842853201074796,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,19891343.344170332,17688752.066059694,0.04761904761904767,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
2,fairshare,0.9917775926491662,0.28,0.9958325460531928,0.9843184795684714,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,19897737.76916675,17769685.828547988,0.04761904761904767,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
3,fairshare,0.994533612761727,0.28,0.9931451876600906,0.9980533875192752,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20442432.32482312,18436629.06520219,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
4,fairshare,0.9945355901754158,0.28,0.9931277824858952,0.99807892085261,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20457473.899431083,18458584.862877697,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
5,fairshare,0.9944915346288794,0.28,0.9931233953113111,0.9980015362097389,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20459445.25655812,18444020.935467858,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
6,fairshare,0.994484140697571,0.28,0.9931495335771251,0.9980278536316045,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20461695.752676282,18452810.557377264,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
7,fairshare,0.9945089563306042,0.28,0.9931332592457184,0.9980369592441699,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20453486.98206969,18447925.10797991,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
8,fairshare,0.9944746597965759,0.28,0.9931574758842039,0.9980680519333905,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20461193.10062814,18438376.727810185,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
9,fairshare,0.9945263173940213,0.28,0.9931280930458304,0.9980974847976437,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20432276.90308749,18453528.045858067,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
10,fairshare,0.994478464389999,0.28,0.9931499999214823,0.9978842393495666,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20445214.600135736,18414624.93168625,0.04761904761904767,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
11,fairshare,0.9944800006328571,0.28,0.9931642057019516,0.9980166514813781,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20456804.85605509,18419894.44362895,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
12,fairshare,0.9944779778734042,0.28,0.9930759124368345,0.9979265934921925,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20386722.330863465,18389552.46838617,0.0714285714285714,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
13,fairshare,0.9945576764117414,0.28,0.9930936160759488,0.9980079463233683,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20376437.07552495,18416297.98097862,0.04761904761904767,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
14,fairshare,0.9944127326482366,0.28,0.9931349087009307,0.9978177574820003,420.0,75.82540563086188,-1.8666666666666667,75.82540563086188,0.72,0.0,20405104.822195705,18354158.820928376,0.04761904761904767,100,28,420.0,11,10,50,30,0.22,0.3333333333333333
