slot,policy,jain,jain_allocation,urban_jain,rural_jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation,urban_allocated,rural_allocated,total_urban,total_rural,urban_allocation_rate,rural_allocation_rate
0,static,0.9796600190291185,0.7640259240509005,0.9774860788131142,0.9799279781086265,2050.865306142593,254.1802760352481,-3.0305556580679984,254.1802760352481,0.2842190771278945,0.0,17478431.85585735,13563390.847935913,0.005442288821985386,100,78,2050.865306142593,40,24,50,30,0.8,0.8
1,static,0.9813809673993475,0.7653858738023303,0.9840761613319481,0.9796944084638771,1999.112061762863,252.30913978632304,-3.097470635932094,252.30913978632304,0.27858493066964285,0.0,17038240.226600703,14218644.98502096,0.007020641957684148,100,78,1999.112061762863,39,27,50,30,0.78,0.9
2,static,0.9814775268962761,0.7654590579824824,0.9808631983688227,0.9803328719286613,1993.0882761029748,252.07627981717405,-3.106707007006377,252.07627981717405,0.2783408692704237,0.0,16987104.65663442,14204653.763023928,0.004685134303443084,100,78,1993.0882761029748,39,22,50,30,0.78,0.7333333333333333
3,static,0.9773840075750927,0.7622299496881154,0.9735843084966022,0.9763851855601919,2031.6311544363543,253.35733636404288,-3.0661208926942245,253.35733636404288,0.28716918532942426,0.0,17315430.913317688,13021216.922498137,0.0101919746871586,100,78,2031.6311544363539,40,24,50,30,0.8,0.8
4,static,0.9775607785296989,0.7623568681622163,0.9742485954655445,0.9766767029087893,2039.3227590920592,253.62938388641862,-3.057466104648599,253.62938388641862,0.2877254583725837,0.0,17381012.355994727,13095040.407596922,0.02102573394993601,100,78,2039.3227590920594,39,23,50,30,0.78,0.7666666666666667
5,static,0.9773861198453012,0.7622344867129538,0.9731747515230621,0.9746759647823803,2057.8000803432205,254.344130653817,-3.028495598833498,254.344130653817,0.2872173071214852,0.0,17537768.04855472,13105148.041564986,0.014562550500754279,100,78,2057.80008034322,37,22,50,30,0.74,0.7333333333333333
6,static,0.9780081589618735,0.762706949330119,0.9743470967025866,0.9763007464112766,2018.3145741343149,252.85702344639566,-3.08597437086574,252.85702344639566,0.2857443205011938,0.0,17202437.097570196,12991387.531422365,0.019845025384785053,100,78,2018.3145741343146,39,21,50,30,0.78,0.7
7,static,0.9781354368813205,0.7628228492729703,0.9771052305848025,0.9727542952150782,2043.7081716450186,253.84644954002513,-3.046063206948749,253.84644954002513,0.28600877185633555,0.0,17417905.937734846,13411636.351979267,0.01463075426994398,100,78,2043.7081716450186,40,23,50,30,0.8,0.7666666666666667
8,static,0.9749950085211166,0.7603506468437934,0.9711621653113606,0.9719096994573703,2032.1476660341243,253.27613667710276,-3.0733687359428883,253.27613667710276,0.29115107796148854,0.0,17320206.46787917,13101597.393040648,0.01532807018956861,100,78,2032.1476660341245,37,24,50,30,0.74,0.8
9,static,0.9761110060573996,0.7612251343685226,0.9731564455351877,0.9753680075018512,2030.433154686464,253.2533979101453,-3.07273352580408,253.2533979101453,0.28924422527822813,0.0,17305519.60676261,13080448.540024135,0.014388236347509409,100,78,2030.433154686464,41,25,50,30,0.82,0.8333333333333334
10,static,0.9758681890675436,0.7610235354953687,0.9745429080494333,0.9708327987903952,2003.4643697784834,252.1999230375151,-3.114926236928073,252.1999230375151,0.2894324249136413,0.0,17076617.580946542,12824151.208293967,0.02180312713302346,100,78,2003.4643697784834,39,24,50,30,0.78,0.8
11,static,0.9745430476594418,0.7599833327355698,0.9698460853013153,0.9728484132477,2010.9423396044438,252.43470078703956,-3.1078347782726734,252.43470078703956,0.29166513095897395,0.0,17140319.86467303,12859768.279338915,0.015501623944862208,100,78,2010.9423396044438,37,24,50,30,0.74,0.8
12,static,0.977278844947114,0.7621211136400377,0.9765897651319019,0.9705335596382962,2001.166736413767,252.14327088683356,-3.116737702787162,252.14327088683356,0.2883265534485868,0.0,17057125.848974533,12944065.660722008,0.02975288216628935,100,78,2001.1667364137668,38,25,50,30,0.76,0.8333333333333334
13,static,0.9743994847857579,0.7598828266666159,0.9693585608384219,0.972517050195869,2016.8502397035297,252.6717325784212,-3.0974013597795276,252.6717325784212,0.29209821025545013,0.0,17190312.431873687,12947283.374327675,0.01863039975142633,100,78,2016.8502397035297,36,24,50,30,0.72,0.8
14,static,0.9766199102402064,0.7616364730625428,0.97394429399117,0.9733315972430496,2040.185170612556,253.65787647508228,-3.0551211540772254,253.65787647508228,0.2887743493531465,0.0,17388108.817168284,13372188.555999218,0.009884995449948919,100,78,2040.1851706125558,36,26,50,30,0.72,0.8666666666666667
15,static,0.9759588941276608,0.7611043013433879,0.9717381454050639,0.9744368376383289,2044.7413013936728,253.78361797289628,-3.0530907184885825,253.78361797289628,0.28948360137159823,0.0,17427155.07376387,12970340.369501134,0.017363639337028003,100,78,2044.741301393673,40,22,50,30,0.8,0.7333333333333333
16,static,0.9756360496553568,0.7608500612975118,0.9723305506577066,0.974133373638648,2056.609211188758,254.21168523939073,-3.0376818704055917,254.21168523939073,0.29010763061391076,0.0,17528080.45873246,12965152.349089954,0.013575571746032411,100,78,2056.6092111887583,41,24,50,30,0.82,0.8
17,static,0.9747268354244425,0.7601349339978271,0.9710394122022912,0.9740774167455912,2038.783613364089,253.50659282130866,-3.0657828691851505,253.50659282130866,0.29158699203484106,0.0,17376731.990326192,12918624.570313925,0.018996175395946224,100,78,2038.7836133640885,41,21,50,30,0.82,0.7
