slot,policy,jain,jain_allocation,urban_jain,rural_jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation,urban_allocated,rural_allocated,total_urban,total_rural,urban_allocation_rate,rural_allocation_rate
0,static,0.9856884679443543,0.7688139616480344,0.9835150399933673,0.9873692580778463,2459.3025700742437,268.59950481743203,-2.5107055654154484,268.59950481743203,0.27312497104718947,0.0,20950667.733875334,16939539.913070194,0.010264503399593394,100,78,2459.3025700742437,39,26,50,30,0.78,0.8666666666666667
1,static,0.985294957493915,0.7685041022695575,0.9860383956125328,0.9846267386841516,2373.137874524459,265.82520842191263,-2.6006697103745595,265.82520842191263,0.2726807408166747,0.0,20217395.02055848,17041397.37720042,0.0021133924956053818,100,78,2373.137874524459,41,24,50,30,0.82,0.8
2,static,0.9851499709449972,0.7683916275288061,0.9852514125539845,0.9836438597020755,2385.956831549257,266.2407248507082,-2.5869894203081913,266.2407248507082,0.27260133315665613,0.0,20326470.556771774,17019742.807629257,0.004083961468553277,100,78,2385.9568315492565,41,24,50,30,0.82,0.8
3,static,0.9820935434917654,0.7659981864447922,0.9801427581271015,0.9802112829776773,2416.3038757376994,267.07441435705124,-2.5653626792001676,267.07441435705124,0.279864227010028,0.0,20585057.899216622,16130991.580222787,0.0128917897037657,100,78,2416.3038757376994,36,26,50,30,0.72,0.8666666666666667
4,static,0.9818757079895968,0.7658284502499888,0.980056547644923,0.9785089125612874,2400.873974728203,266.573673252322,-2.5816282668211787,266.573673252322,0.28033525515119484,0.0,20453736.634341113,16082168.682520175,0.008898468043786467,100,78,2400.873974728203,39,23,50,30,0.78,0.7666666666666667
5,static,0.9817485946623543,0.7657267524169503,0.9803799475567174,0.9785558049580624,2395.5231937786307,266.38866377149736,-2.588350753821702,266.38866377149736,0.28043749934595663,0.0,20408264.99679854,16089694.628583463,0.013165132889362274,100,78,2395.5231937786302,44,20,50,30,0.88,0.6666666666666666
6,static,0.98121849328744,0.7653115935471034,0.9778215757156744,0.9808710135057231,2382.684588819263,265.95200935181026,-2.6033352845819286,265.95200935181026,0.2811706595442154,0.0,20299053.813771207,16063941.156935915,0.017161281483516033,100,78,2382.6845888192634,38,24,50,30,0.76,0.8
7,static,0.9823289442820345,0.7661809301108374,0.9782304299085423,0.9834215998847669,2409.8792036539976,266.8748479987044,-2.5717498248771165,266.8748479987044,0.2791335395328154,0.0,20530393.74720657,16035905.877363613,0.015845384414872044,100,78,2409.879203653997,39,23,50,30,0.78,0.7666666666666667
8,static,0.9841920806434129,0.7676408655855492,0.9817625949049186,0.9839637298267221,2400.905334684606,266.6730213090438,-2.5749679518864395,266.6730213090438,0.27574228134580814,0.0,20453812.02717966,16644228.078010581,0.006015864745808619,100,78,2400.9053346846054,42,20,50,30,0.84,0.6666666666666666
9,static,0.9825494850453633,0.7663569814159045,0.9811791451411785,0.9776285613449526,2416.7274910355386,267.11396625624104,-2.562922530143664,267.11396625624104,0.27922499846442284,0.0,20588574.971093602,16147110.786570093,0.009842845974175951,100,78,2416.7274910355386,37,24,50,30,0.74,0.8
10,static,0.9837811159312175,0.7673174313690967,0.9826915492790493,0.9809317692945378,2400.3918734949602,266.6324588480177,-2.5773674403214892,266.6324588480177,0.27644680810112776,0.0,20449524.040176384,16122275.994611003,0.014585656499085609,100,78,2400.3918734949602,42,22,50,30,0.84,0.7333333333333333
11,static,0.9824996819532834,0.7663154399695793,0.980837210178677,0.9798569731011334,2406.356370444784,266.772088140726,-2.5745929508894134,266.772088140726,0.27901388091167334,0.0,20500375.012466002,16140782.676664302,0.013122452840887755,100,78,2406.356370444784,39,24,50,30,0.78,0.8
12,static,0.9836519282875525,0.7672195205698837,0.9814024141371797,0.9820616893347064,2403.901877879534,266.75073902966244,-2.572944269894546,266.75073902966244,0.27696810319433873,0.0,20479326.715798445,16615195.608670067,0.015309446501707624,100,78,2403.901877879534,39,23,50,30,0.78,0.7666666666666667
13,static,0.9822198397165643,0.7660912196567315,0.9809138105459505,0.9791139833463787,2358.1255948643466,265.1755523230487,-2.628529577563555,265.1755523230487,0.28022078077455315,0.0,20090083.479723673,15891975.248770168,0.017251104907933135,100,78,2358.125594864347,37,26,50,30,0.74,0.8666666666666667
14,static,0.9822626160850688,0.7661286271069832,0.9799660995202452,0.981026204071693,2418.2957038460654,267.1390638088961,-2.5634859955883447,267.1390638088961,0.279230228264739,0.0,20602042.83311646,15938850.358661832,0.014578014228774583,100,78,2418.295703846066,41,24,50,30,0.82,0.8
15,static,0.9818827429846165,0.7658313605696451,0.9782893817684661,0.9811730025371493,2384.0946727833143,266.0257999521958,-2.599944384994365,266.0257999521958,0.2798952500592915,0.0,20310998.333937258,16035017.82561379,0.018513291486437433,100,78,2384.0946727833148,37,26,50,30,0.74,0.8666666666666667
16,static,0.9835354985497066,0.767126128078776,0.9823226450996846,0.9807630094035084,2388.9776993876144,266.25658947496737,-2.5897194186624026,266.25658947496737,0.27707716957927553,0.0,20352382.652885363,16137186.792675924,0.01265950726814169,100,78,2388.977699387615,42,23,50,30,0.84,0.7666666666666667
